seed,sleep
488,35
489,51
490,20
491,8
492,24
493,16
494,59
495,38
496,51
497,9
498,24
499,30
500,58
501,26
502,24
503,31
504,11
505,11
506,40
507,35
508,35
509,26
510,58
511,56
512,56
513,26
514,12
515,35
516,12
517,49
518,36
519,32
520,7
521,24
522,26
523,52
524,48
525,14
526,15
527,45
528,41
529,29
530,56
531,45
532,10
533,9
534,56
535,10
536,17
537,52
538,19
539,8
540,29
541,5
542,11
543,30
544,40
545,38
546,23
547,33
548,36
549,55
550,42
551,50
552,48
553,18
554,32
555,10
556,28
557,19
558,21
559,42
560,54
561,15
562,32
563,17
564,27
565,12
566,9
567,57
568,60
569,59
570,49
571,6
572,38
573,33
574,53
575,48
576,17
577,12
578,36
579,30
580,21
581,18
582,46
583,7
584,56
585,18
586,44
587,14
588,11
589,17
590,34
591,29
592,28
593,39
594,57
595,14
596,11
597,43
598,36
599,14
600,41
601,30
602,45
603,48
604,32
605,38
606,36
607,48
608,25
609,58
610,36
611,36
612,45
613,47
614,60
615,17
616,39
617,44
618,19
619,5
620,26
621,50
622,52
623,25
624,57
625,25
626,7
627,38
628,14
629,60
630,21
631,43
632,55
633,14
634,58
635,29
636,42
637,23
638,50
639,50
640,56
641,35
642,9
643,56
644,10
645,38
646,60
647,7
648,9
649,19
650,13
651,7
652,24
653,5
654,53
655,59
656,33
657,26
658,60
659,15
660,56
661,14
662,60
663,46
664,34
665,28
666,37
667,29
668,38
669,37
670,7
671,41
672,10
673,48
674,55
675,56
676,38
677,53
678,43
679,9
680,52
681,32
682,53
683,18
684,23
685,39
686,43
687,31
688,57
689,35
690,59
691,55
692,29
693,43
694,42
695,19
696,59
697,60
698,56
699,6
700,47
701,5
702,52
703,16
704,24
705,37
706,41
707,21
708,26
709,9
710,36
711,60
712,21
713,57
714,24
715,54
716,31
717,29
718,56
719,29
720,8
721,15
722,46
723,13
724,20
725,23
726,51
727,58
728,26
729,8
730,7
731,35
732,31
733,14
734,36
735,60
736,43
737,50
738,10
739,48
740,49
741,14
742,56
743,27
744,31
745,7
746,44
747,34
748,29
749,34
750,8
751,11
752,35
753,54
754,14
755,6
756,7
757,43
758,44
759,13
760,45
761,25
762,11
763,49
764,40
765,46
766,27
767,17
768,29
769,55
770,54
771,54
772,36
773,12
774,8
775,44
776,49
777,34
778,44
779,45
780,26
781,46
782,12
783,48
784,50
785,44
786,23
787,55
788,59
789,13
790,29
791,56
792,23
793,52
794,60
795,48
796,56
797,12
798,38
799,60
800,55
801,17
802,7
803,55
804,30
805,33
806,28
807,53
808,17
809,34
810,27
811,55
812,45
813,9
814,7
815,7
816,36
817,21
818,6
819,38
820,47
821,41
822,41
823,18
824,19
825,10
826,54
827,57
828,45
829,54
830,37
831,49
832,38
833,31
834,37
835,24
836,12
837,14
838,32
839,41
840,32
841,10
842,11
843,31
844,9
845,11
846,31
847,54
848,14
849,51
850,6
851,55
852,33
853,32
854,48
855,31
856,6
857,36
858,60
859,25
860,51
861,21
862,10
863,27
864,9
865,12
866,27
867,49
868,6
869,27
870,27
871,16
872,5
873,58
874,19
875,57
876,28
877,9
878,43
879,14
880,18
881,5
882,18
883,47
884,48
885,51
886,12
887,52
888,5
889,23
890,28
891,49
892,6
893,43
894,19
895,59
896,14
897,16
898,34
899,12
900,35
901,27
902,50
903,21
904,13
905,6
906,18
907,28
908,26
909,35
910,23
911,23
912,40
913,45
914,25
915,16
916,42
917,10
918,11
919,39
920,42
921,24
922,15
923,29
924,14
925,13
926,56
927,19
928,25
929,37
930,20
931,20
932,53
933,16
934,23
935,28
936,31
937,47
938,7
939,60
940,13
941,43
942,6
943,30
944,9
945,49
946,9
947,13
948,31
949,24
950,40
951,31
952,52
953,14
954,42
955,32
956,24
957,45
958,27
959,10
960,20
961,33
962,45
963,28
964,45
965,38
966,8
967,29
968,31
969,5
970,31
971,51
972,25
973,33
974,18
975,28
976,23
977,35
978,10
979,16
980,55
981,11
982,22
983,12
984,40
985,43
986,49
987,14
988,55
989,49
990,33
991,30
992,16
993,54
994,31
995,32
996,16
997,20
998,34
999,26
1000,38
1001,14
1002,27
1003,34
1004,45
1005,45
1006,10
1007,35
1008,53
1009,18
1010,23
1011,5
1012,58
1013,49
1014,33
1015,44
1016,34
1017,5
1018,18
1019,24
1020,12
1021,54
1022,45
1023,24
1024,39
1025,43
1026,14
1027,32
1028,50
1029,53
1030,35
1031,10
1032,48
1033,36
1034,53
1035,19
1036,39
1037,53
1038,30
1039,22
1040,45
1041,6
1042,12
1043,22
1044,47
1045,7
1046,5
1047,21
1048,30
1049,38
1050,42
1051,50
1052,30
1053,33
1054,11
1055,52
1056,21
1057,27
1058,23
1059,60
1060,53
1061,48
1062,17
1063,43
1064,10
1065,7
1066,9
1067,55
1068,21
1069,24
1070,39
1071,26
1072,12
1073,38
1074,60
1075,20
1076,53
1077,15
1078,9
1079,31
1080,60
1081,23
1082,23
1083,38
1084,13
1085,41
1086,38
1087,45
1088,18
1089,39
1090,11
1091,31
1092,45
1093,39
1094,30
1095,52
1096,54
1097,55
1098,22
1099,23
1100,33
1101,28
1102,41
1103,45
1104,13
1105,15
1106,12
1107,49
1108,12
1109,29
1110,30
1111,42
1112,34
1113,13
1114,40
1115,47
1116,24
1117,27
1118,45
1119,35
1120,52
1121,31
1122,18
1123,35
1124,36
1125,49
1126,37
1127,25
1128,36
1129,46
1130,8
1131,33
1132,24
1133,14
1134,52
1135,36
1136,8
1137,44
1138,18
1139,6
1140,27
1141,35
1142,30
1143,5
1144,59
1145,38
1146,9
1147,48
1148,60
1149,10
1150,48
1151,52
1152,47
1153,30
1154,5
1155,28
1156,7
1157,12
1158,44
1159,5
1160,22
1161,60
1162,45
1163,49
1164,23
1165,51
1166,19
1167,14
1168,53
1169,41
1170,23
1171,17
1172,11
1173,32
1174,34
1175,50
1176,26
1177,29
1178,15
1179,26
1180,31
1181,46
1182,48
1183,32
1184,14
1185,33
1186,50
1187,14
1188,38
1189,25
1190,13
1191,18
1192,16
1193,33
1194,27
1195,55
1196,29
1197,32
1198,56
1199,36
1200,29
1201,51
1202,19
1203,55
1204,17
1205,33
1206,18
1207,42
1208,50
1209,8
1210,29
1211,7
1212,19
1213,45
1214,10
1215,60
1216,16
1217,28
1218,8
1219,52
1220,45
1221,48
1222,16
1223,19
1224,44
1225,24
1226,44
1227,10
1228,50
1229,60
1230,37
1231,53
1232,23
1233,54
1234,27
1235,31
1236,34
1237,8
1238,45
1239,49
1240,38
1241,47
1242,46
1243,40
1244,52
1245,32
1246,42
1247,34
1248,36
1249,21
1250,50
1251,35
1252,18
1253,26
1254,22
1255,7
1256,7
1257,8
1258,15
1259,27
1260,5
1261,23
1262,46
1263,5
1264,13
1265,9
1266,55
1267,32
1268,48
1269,19
1270,43
1271,30
1272,40
1273,19
1274,34
1275,17
1276,26
1277,43
1278,11
1279,43
1280,10
1281,55
1282,25
1283,25
1284,39
1285,34
1286,25
1287,21
1288,6
1289,38
1290,7
1291,17
1292,28
1293,10
1294,18
1295,60
1296,38
1297,27
1298,17
1299,58
1300,17
1301,21
1302,48
1303,51
1304,52
1305,24
1306,24
1307,38
1308,60
1309,29
1310,21
1311,35
1312,27
1313,60
1314,50
1315,20
1316,7
1317,24
1318,40
1319,9
1320,5
1321,34
1322,36
1323,51
1324,33
1325,8
1326,56
1327,31
1328,36
1329,34
1330,33
1331,12
1332,10
1333,10
1334,20
1335,11
1336,57
1337,53
1338,14
1339,31
1340,18
1341,33
1342,44
1343,9
1344,57
1345,32
1346,40
1347,53
1348,58
1349,30
1350,7
1351,16
1352,20
1353,36
1354,19
1355,13
1356,58
1357,60
1358,22
1359,27
1360,25
1361,32
1362,11
1363,40
1364,23
1365,44
1366,39
1367,55
1368,17
1369,50
1370,23
1371,54
1372,33
1373,37
1374,43
1375,34
1376,39
1377,45
1378,21
1379,22
1380,19
1381,6
1382,12
1383,44
1384,55
1385,50
1386,11
1387,16
1388,51
1389,31
1390,20
1391,18
1392,23
1393,52
1394,47
1395,5
1396,52
1397,39
1398,37
1399,32
1400,59
1401,8
1402,12
1403,29
1404,46
1405,22
1406,12
1407,52
1408,41
1409,27
1410,19
1411,48
1412,50
1413,50
1414,39
1415,47
1416,23
1417,19
1418,52
1419,58
1420,20
1421,9
1422,38
1423,24
1424,48
1425,25
1426,19
1427,28
1428,45
1429,35
1430,23
1431,42
1432,15
1433,13
1434,56
1435,5
1436,40
1437,37
1438,25
1439,28
1440,42
1441,45
1442,6
1443,56
1444,13
1445,30
1446,14
1447,16
1448,37
1449,9
1450,13
1451,53
1452,18
1453,55
1454,54
1455,36
1456,41
1457,54
1458,49
1459,18
1460,20
1461,51
1462,13
1463,57
1464,19
1465,53
1466,29
1467,27
1468,43
1469,42
1470,13
1471,45
1472,36
1473,11
1474,44
1475,58
1476,6
1477,38
1478,43
1479,27
1480,36
1481,34
1482,24
1483,5
1484,19
1485,40
1486,46
1487,15
1488,47
1489,36
1490,56
1491,52
1492,35
1493,39
1494,25
1495,50
1496,59
1497,10
1498,21
1499,13
1500,43
1501,30
1502,50
1503,17
1504,57
1505,25
1506,55
1507,23
1508,29
1509,8
1510,18
1511,7
1512,25
1513,51
1514,52
1515,20
1516,26
1517,60
1518,33
1519,47
1520,51
1521,47
1522,47
1523,19
1524,21
1525,27
1526,47
1527,15
1528,24
1529,6
1530,27
1531,41
1532,39
1533,8
1534,51
1535,45
1536,14
1537,27
1538,6
1539,36
1540,45
1541,8
1542,6
1543,20
1544,7
1545,5
1546,19
1547,46
1548,25
1549,9
1550,57
1551,8
1552,27
1553,47
1554,32
1555,13
1556,18
1557,33
1558,32
1559,14
1560,27
1561,24
1562,16
1563,46
1564,26
1565,51
1566,55
1567,52
1568,31
1569,29
1570,5
1571,31
1572,21
1573,39
1574,39
1575,56
1576,52
1577,48
1578,50
1579,34
1580,53
1581,7
1582,41
1583,12
1584,31
1585,29
1586,15
1587,5
1588,37
1589,13
1590,44
1591,60
1592,47
1593,37
1594,58
1595,51
1596,49
1597,14
1598,10
1599,26
1600,20
1601,58
1602,58
1603,57
1604,16
1605,20
1606,6
1607,56
1608,15
1609,52
1610,55
1611,58
1612,48
1613,40
1614,15
1615,50
1616,10
1617,32
1618,60
1619,43
1620,11
1621,44
1622,45
1623,34
1624,50
1625,14
1626,44
1627,43
1628,7
1629,21
1630,26
1631,56
1632,52
1633,51
1634,29
1635,6
1636,45
1637,7
1638,36
1639,10
1640,27
1641,23
1642,47
1643,14
1644,34
1645,20
1646,37
1647,27
1648,15
1649,52
1650,53
1651,30
1652,26
1653,22
1654,56
1655,36
1656,30
1657,5
1658,24
1659,38
1660,23
1661,40
1662,35
1663,7
1664,54
1665,39
1666,41
1667,40
1668,21
1669,48
1670,7
1671,34
1672,30
1673,51
1674,12
1675,30
1676,27
1677,36
1678,8
1679,6
1680,22
1681,52
1682,7
1683,21
1684,48
1685,48
1686,42
1687,49
1688,54
1689,23
1690,48
1691,53
1692,18
1693,53
1694,38
1695,38
1696,26
1697,29
1698,58
1699,21
1700,18
1701,12
1702,41
1703,26
1704,56
1705,20
1706,42
1707,48
1708,51
1709,39
1710,48
1711,27
1712,15
1713,60
1714,14
1715,26
1716,59
1717,52
1718,57
1719,5
1720,42
1721,57
1722,8
1723,41
1724,14
1725,27
1726,28
1727,23
1728,45
1729,23
1730,25
1731,36
1732,55
1733,30
1734,43
1735,32
1736,15
1737,5
1738,55
1739,14
1740,41
1741,7
1742,33
1743,13
1744,26
1745,5
1746,51
1747,35
1748,47
1749,57
1750,47
1751,54
1752,21
1753,52
1754,44
1755,17
1756,9
1757,40
1758,32
1759,22
1760,58
1761,16
1762,38
1763,15
1764,9
1765,47
1766,45
1767,15
1768,42
1769,12
1770,37
1771,45
1772,55
1773,39
1774,43
1775,29
1776,53
1777,32
1778,22
1779,24
1780,23
1781,5
1782,32
1783,54
1784,57
1785,50
1786,22
1787,21
1788,39
1789,38
1790,40
1791,25
1792,26
1793,17
1794,50
1795,55
1796,32
1797,55
1798,14
1799,59
1800,5
1801,53
1802,37
1803,14
1804,55
1805,47
1806,49
1807,55
1808,41
1809,29
1810,28
1811,34
1812,7
1813,40
1814,31
1815,45
1816,44
1817,56
1818,56
1819,53
1820,19
1821,6
1822,28
1823,38
1824,15
1825,48
1826,17
1827,45
1828,27
1829,45
1830,49
1831,36
1832,6
1833,51
1834,52
1835,20
1836,41
1837,20
1838,22
1839,16
1840,53
1841,31
1842,9
1843,41
1844,33
1845,20
1846,52
1847,50
1848,33
1849,60
1850,37
1851,56
1852,56
1853,50
1854,11
1855,17
1856,15
1857,33
1858,9
1859,32
1860,45
1861,30
1862,22
1863,21
1864,32
1865,53
1866,54
1867,27
1868,44
1869,25
1870,10
1871,24
1872,6
1873,36
1874,5
1875,53
1876,21
1877,17
1878,53
1879,30
1880,29
1881,32
1882,54
1883,45
1884,45
1885,48
1886,29
1887,49
1888,57
1889,7
1890,42
1891,34
1892,27
1893,58
1894,41
1895,13
1896,41
1897,50
1898,22
1899,25
1900,57
1901,6
1902,30
1903,35
1904,38
1905,13
1906,7
1907,10
1908,41
1909,60
1910,27
1911,28
1912,5
1913,9
1914,17
1915,50
1916,12
1917,47
1918,39
1919,35
1920,7
1921,25
1922,58
1923,59
1924,6
1925,25
1926,30
1927,13
1928,53
1929,45
1930,22
1931,31
1932,47
1933,14
1934,43
1935,14
1936,30
1937,60
1938,24
1939,37
1940,8
1941,15
1942,13
1943,13
1944,35
1945,50
1946,46
1947,50
1948,53
1949,51
1950,7
1951,51
1952,57
1953,38
1954,7
1955,57
1956,40
1957,49
1958,52
1959,49
1960,45
1961,29
1962,16
1963,27
1964,56
1965,42
1966,57
1967,10
1968,10
1969,40
1970,16
1971,57
1972,21
1973,17
1974,56
1975,21
1976,25
1977,49
1978,50
1979,21
1980,55
1981,21
1982,38
1983,34
1984,14
1985,53
1986,33
1987,40
1988,14
1989,7
1990,45
1991,42
1992,16
1993,46
1994,37
1995,7
1996,53
1997,25
1998,57
1999,9
2000,17
2001,46
2002,55
2003,34
2004,44
2005,20
2006,56
2007,34
2008,38
2009,15
2010,50
2011,26
2012,46
2013,13
2014,35
2015,54
2016,40
2017,8
2018,39
2019,10
2020,57
2021,38
2022,26
2023,5
2024,57
2025,54
2026,10
2027,11
2028,32
2029,43
2030,27
2031,41
2032,33
2033,26
2034,58
2035,29
2036,37
2037,28
2038,58
2039,60
2040,45
2041,12
2042,13
2043,25
2044,6
2045,16
2046,51
2047,13
2048,6
2049,26
2050,43
2051,17
2052,7
2053,31
2054,46
2055,8
2056,49
2057,24
2058,55
2059,29
2060,8
2061,43
2062,54
2063,55
2064,50
2065,15
2066,27
2067,58
2068,9
2069,31
2070,8
2071,33
2072,27
2073,43
2074,44
2075,53
2076,21
2077,48
2078,24
2079,41
2080,59
2081,56
2082,34
2083,31
2084,16
2085,6
2086,34
2087,56
2088,21
2089,17
2090,29
2091,9
2092,27
2093,11
2094,12
2095,6
2096,27
2097,6
2098,16
2099,30
2100,44
2101,49
2102,46
2103,5
2104,25
2105,34
2106,55
2107,40
2108,52
2109,60
2110,49
2111,36
2112,35
2113,10
2114,59
2115,8
2116,39
2117,60
2118,30
2119,55
2120,55
2121,59
2122,21
2123,6
2124,46
2125,38
2126,11
2127,58
2128,57
2129,10
2130,26
2131,27
2132,11
2133,35
2134,7
2135,14
2136,38
2137,45
2138,56
2139,23
2140,7
2141,5
2142,29
2143,26
2144,15
2145,40
2146,49
2147,14
2148,15
2149,16
2150,54
2151,15
2152,45
2153,48
2154,20
2155,44
2156,26
2157,6
2158,35
2159,45
2160,48
2161,30
2162,7
2163,19
2164,20
2165,45
2166,23
2167,26
2168,15
2169,20
2170,27
2171,19
2172,15
2173,31
2174,34
2175,28
2176,41
2177,13
2178,29
2179,41
2180,54
2181,5
2182,15
2183,42
2184,5
2185,48
2186,29
2187,50
2188,56
2189,16
2190,14
2191,6
2192,6
2193,57
2194,25
2195,37
2196,5
2197,7
2198,8
2199,54
2200,12
2201,41
2202,44
2203,14
2204,54
2205,14
2206,48
2207,55
2208,29
2209,55
2210,6
2211,31
2212,32
2213,41
2214,48
2215,26
2216,50
2217,20
2218,13
2219,28
2220,37
2221,18
2222,39
2223,30
2224,9
2225,13
2226,31
2227,41
2228,47
2229,27
2230,11
2231,32
2232,32
2233,20
2234,35
2235,29
2236,19
2237,30
2238,20
2239,46
2240,35
2241,30
2242,42
2243,9
2244,58
2245,21
2246,22
2247,38
2248,28
2249,39
2250,6
2251,43
2252,44
2253,54
2254,35
2255,20
2256,22
2257,7
2258,44
2259,25
2260,60
2261,56
2262,30
2263,45
2264,11
2265,39
2266,59
2267,8
2268,14
2269,50
2270,30
2271,6
2272,54
2273,31
2274,51
2275,60
2276,30
2277,32
2278,11
2279,50
2280,34
2281,43
2282,34
2283,15
2284,15
2285,26
2286,35
2287,31
2288,15
2289,42
2290,60
2291,23
2292,53
2293,37
2294,12
2295,28
2296,27
2297,14
2298,45
2299,27
2300,54
2301,35
2302,45
2303,38
2304,53
2305,8
2306,17
2307,21
2308,16
2309,51
2310,42
2311,25
2312,23
2313,29
2314,45
2315,7
2316,23
2317,40
2318,32
2319,7
2320,48
2321,31
2322,22
2323,29
2324,51
2325,18
2326,27
2327,13
2328,13
2329,12
2330,44
2331,27
2332,15
2333,6
2334,32
2335,41
2336,30
2337,34
2338,9
2339,46
2340,50
2341,50
2342,48
2343,9
2344,54
2345,32
2346,39
2347,51
2348,40
2349,13
2350,15
2351,14
2352,18
2353,15
2354,19
2355,6
2356,38
2357,13
2358,57
2359,36
2360,27
2361,44
2362,52
2363,23
2364,50
2365,55
2366,26
2367,48
2368,12
2369,56
2370,59
2371,58
2372,31
2373,54
2374,60
2375,21
2376,15
2377,26
2378,45
2379,37
2380,26
2381,39
2382,49
2383,14
2384,29
2385,52
2386,52
2387,40
2388,24
2389,20
2390,29
2391,27
2392,29
2393,35
2394,37
2395,24
2396,31
2397,31
2398,57
2399,11
2400,48
2401,14
2402,14
2403,5
2404,42
2405,43
2406,45
2407,50
2408,38
2409,11
2410,49
2411,54
2412,46
2413,49
2414,18
2415,43
2416,46
2417,43
2418,37
2419,12
2420,22
2421,49
2422,51
2423,44
2424,15
2425,29
2426,10
2427,55
2428,7
2429,5
2430,12
2431,28
2432,57
2433,51
2434,35
2435,25
2436,11
2437,48
2438,33
2439,28
2440,42
2441,49
2442,21
2443,47
2444,36
2445,56
2446,54
2447,19
2448,15
2449,40
2450,40
2451,57
2452,9
2453,54
2454,59
2455,37
2456,15
2457,6
2458,57
2459,46
2460,59
2461,15
2462,38
2463,31
2464,43
2465,47
2466,18
2467,33
2468,50
2469,48
2470,30
2471,21
2472,6
2473,42
2474,13
2475,29
2476,15
2477,33
2478,41
2479,8
2480,29
2481,56
2482,10
2483,46
2484,42
2485,30
2486,26
2487,19
2488,37
2489,60
2490,34
2491,7
2492,35
2493,44
2494,11
2495,22
2496,58
2497,37
2498,36
2499,40
2500,46
2501,30
2502,35
2503,21
2504,16
2505,19
2506,39
2507,28
2508,15
2509,24
2510,59
2511,43
2512,58
2513,14
2514,34
2515,9
2516,9
2517,35
2518,30
2519,41
2520,31
2521,40
2522,10
2523,21
2524,35
2525,19
2526,57
2527,12
2528,23
2529,14
2530,28
2531,56
2532,11
2533,13
2534,47
2535,60
2536,8
2537,57
2538,47
2539,13
2540,42
2541,40
2542,17
2543,5
2544,7
2545,60
2546,30
2547,40
2548,49
2549,53
2550,43
2551,36
2552,50
2553,49
2554,11
2555,35
2556,40
2557,27
2558,60
2559,54
2560,26
2561,60
2562,11
2563,48
2564,5
2565,20
2566,19
2567,36
2568,58
2569,24
2570,22
2571,19
2572,5
2573,36
2574,27
2575,37
2576,26
2577,10
2578,9
2579,24
2580,41
2581,32
2582,19
2583,52
2584,28
2585,29
2586,60
2587,53
2588,14
2589,19
2590,23
2591,17
2592,52
2593,54
2594,35
2595,47
2596,55
2597,27
2598,23
2599,29
2600,44
2601,13
2602,58
2603,54
2604,12
2605,30
2606,27
2607,37
2608,60
2609,35
2610,19
2611,46
2612,50
2613,28
2614,45
2615,27
2616,32
2617,22
2618,27
2619,30
2620,54
2621,54
2622,50
2623,23
2624,60
2625,11
2626,35
2627,23
2628,12
2629,33
2630,14
2631,27
2632,20
2633,52
2634,16
2635,26
2636,36
2637,19
2638,12
2639,48
2640,29
2641,29
2642,34
2643,37
2644,34
2645,41
2646,58
2647,44
2648,19
2649,48
2650,30
2651,37
2652,24
2653,36
2654,19
2655,25
2656,38
2657,48
2658,5
2659,10
2660,35
2661,25
2662,30
2663,19
2664,57
2665,32
2666,8
2667,41
2668,54
2669,7
2670,31
2671,10
2672,21
2673,17
2674,51
2675,25
2676,16
2677,12
2678,16
2679,56
2680,49
2681,28
2682,6
2683,19
2684,7
2685,5
2686,29
2687,39
2688,5
2689,13
2690,12
2691,57
2692,43
2693,43
2694,17
2695,10
2696,52
2697,34
2698,17
2699,59
2700,5
2701,38
2702,44
2703,59
2704,31
2705,9
2706,39
2707,16
2708,19
2709,19
2710,31
2711,29
2712,35
2713,56
2714,5
2715,32
2716,18
2717,29
2718,53
2719,7
2720,44
2721,22
2722,6
2723,42
2724,27
2725,50
2726,28
2727,57
2728,26
2729,48
2730,34
2731,46
2732,13
2733,43
2734,38
2735,10
2736,21
2737,11
2738,50
2739,11
2740,22
2741,6
2742,49
2743,14
2744,44
2745,54
2746,47
2747,13
2748,29
2749,18
2750,41
2751,47
2752,25
2753,17
2754,31
2755,37
2756,37
2757,12
2758,40
2759,11
2760,49
2761,35
2762,12
2763,37
2764,33
2765,35
2766,16
2767,34
2768,40
2769,26
2770,13
2771,31
2772,21
2773,29
2774,10
2775,41
2776,37
2777,26
2778,57
2779,57
2780,60
2781,19
2782,34
2783,20
2784,27
2785,35
2786,54
2787,31
2788,6
2789,33
2790,51
2791,5
2792,40
2793,30
2794,53
2795,54
2796,33
2797,19
2798,32
2799,20
2800,21
2801,35
2802,35
2803,14
2804,19
2805,33
2806,23
2807,28
2808,46
2809,36
2810,43
2811,14
2812,58
2813,38
2814,48
2815,10
2816,17
2817,24
2818,38
2819,45
2820,48
2821,12
2822,8
2823,14
2824,26
2825,7
2826,26
2827,60
2828,44
2829,56
2830,15
2831,54
2832,34
2833,29
2834,48
2835,17
2836,31
2837,36
2838,17
2839,15
2840,30
2841,8
2842,55
2843,56
2844,54
2845,26
2846,53
2847,48
2848,58
2849,38
2850,17
2851,51
2852,25
2853,16
2854,38
2855,39
2856,50
2857,59
2858,43
2859,42
2860,32
2861,14
2862,45
2863,49
2864,44
2865,36
2866,47
2867,41
2868,18
2869,43
2870,33
2871,7
2872,20
2873,36
2874,43
2875,58
2876,25
2877,40
2878,51
2879,17
2880,5
2881,7
2882,8
2883,13
2884,20
2885,33
2886,60
2887,48
2888,44
2889,19
2890,47
2891,48
2892,11
2893,60
2894,53
2895,38
2896,32
2897,46
2898,45
2899,23
2900,48
2901,26
2902,36
2903,48
2904,17
2905,15
2906,28
2907,40
2908,58
2909,27
2910,50
2911,33
2912,30
2913,33
2914,47
2915,25
2916,59
2917,34
2918,9
2919,14
2920,19
2921,53
2922,12
2923,53
2924,14
2925,30
2926,34
2927,50
2928,39
2929,18
2930,28
2931,50
2932,7
2933,6
2934,30
2935,18
2936,10
2937,59
2938,31
2939,42
2940,41
2941,60
2942,55
2943,31
2944,39
2945,18
2946,45
2947,5
2948,47
2949,13
2950,38
2951,46
2952,36
2953,24
2954,29
2955,39
2956,39
2957,9
2958,10
2959,43
2960,51
2961,36
2962,53
2963,5
2964,18
2965,31
2966,44
2967,53
2968,28
2969,24
2970,10
2971,52
2972,6
2973,54
2974,56
2975,20
2976,44
2977,60
2978,6
2979,42
2980,60
2981,37
2982,28
2983,14
2984,34
2985,21
2986,12
2987,42
2988,33
2989,22
2990,58
2991,19
2992,29
2993,29
2994,52
2995,37
2996,26
